S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,CASA ESPERANZA,BUKIT TIMAH ROAD,Condominium,21,RCR,Freehold,Resale,1,3565000,-,2002,Strata,01 to 05,1781,Oct-21
2,NATURA@HILLVIEW,HILLVIEW TERRACE,Apartment,23,OCR,Freehold,Resale,1,710000,-,527,Strata,01 to 05,1346,Oct-21
3,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1200000,-,775,Strata,11 to 15,1548,Oct-21
4,SUMMERHILL,HUME AVENUE,Condominium,21,OCR,Freehold,Resale,1,2230000,-,1604,Strata,01 to 05,1390,Oct-21
5,HILLION RESIDENCES,JELEBU ROAD,Apartment,23,OCR,99 yrs lease commencing from 2013,Resale,1,715000,-,474,Strata,06 to 10,1510,Oct-21
6,NORTHVALE,CHOA CHU KANG LOOP,Apartment,23,OCR,99 yrs lease commencing from 1995,Resale,1,1060000,-,1356,Strata,01 to 05,782,Oct-21
7,J GATEWAY,GATEWAY DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2012,Resale,1,812000,-,474,Strata,01 to 05,1714,Oct-21
8,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1250000,-,1001,Strata,06 to 10,1249,Oct-21
9,TREE HOUSE,CHESTNUT AVENUE,Condominium,23,OCR,99 yrs lease commencing from 2009,Resale,1,915000,-,807,Strata,06 to 10,1133,Oct-21
10,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,1088888,-,1270,Strata,01 to 05,857,Oct-21
11,THE SKYWOODS,DAIRY FARM HEIGHTS,Condominium,23,OCR,99 yrs lease commencing from 2012,Resale,1,1700000,-,1292,Strata,06 to 10,1316,Oct-21
12,J GATEWAY,GATEWAY DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2012,Resale,1,1630000,-,893,Strata,31 to 35,1824,Oct-21
13,HAZEL PARK CONDOMINIUM,HAZEL PARK TERRACE,Condominium,23,OCR,999 yrs lease commencing from 1882,Resale,1,1420000,-,1206,Strata,01 to 05,1178,Oct-21
14,SPRINGDALE CONDOMINIUM,HINDHEDE WALK,Condominium,21,OCR,999 yrs lease commencing from 1877,Resale,1,1545000,-,1130,Strata,01 to 05,1367,Oct-21
15,J GATEWAY,GATEWAY DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2012,Resale,1,908000,-,474,Strata,21 to 25,1917,Oct-21
16,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,Resale,1,798000,-,560,Strata,06 to 10,1426,Oct-21
